image,url,title,upc,coupon_price,price,original_price,on_sale,inventory
https://cdn.shopify.com/s/files/1/1405/6268/products/image_24ccb447-9aba-4d1d-a0f3-13f9d2f3e5c3.jpg?v=1653545158,http://www.maxwarehouse.com/products/incredible-candle-pack-of-20,Just for Laughs Incredible Candle Celebration Birthday Candle Plastic 1 pk (Pack of 20),U_641585033054,-,116.67,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_3ad30654-d872-416f-955e-c6034e8bfff9.jpg?v=1651812375,http://www.maxwarehouse.com/products/iris-water-tight-storage-box-11-h-x-16-w-x-19-7-l-46-6-qt-clear-pack-of-6,Iris WEATHERTIGHT 11.7 in. H x 15.7 in. W x 19.7 in. D Stackable Storage Box (Pack of 6),U_762016429083,-,139.81,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_41006a2b-cb28-42dc-99a0-ccf22143bc5c.jpg?v=1645957021,http://www.maxwarehouse.com/products/shelf-unit-5-tier-chrm,Honey-Can-Do 72 in. H X 24 in. W X 18 in. D Steel Multi Rack Shelving Unit,U_811434010547,-,77.51,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_3d03bd5e-b82d-41ab-8a2b-5d3b94f09c82.jpg?v=1645155037,http://www.maxwarehouse.com/products/citro-cndl-tealight-18pc,Patio Essentials Wax Citronella Tea Light Candle for Mosquitoes/Other Flying Insects,U_815094012941,-,10.12,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_bc4221b5-4aab-4b08-8d89-dd096801a1da.jpg?v=1645106985,http://www.maxwarehouse.com/products/true-aire-baseboard-diffuser-15-x-4-5-white-powder-coated-heavy-steel-construction,Tru Aire 4-1/2 in. H X 15 in. W 3-Way Powder Coat White Steel Baseboard Diffuser,U_803492201425,-,11.04,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_6808c1cf-4916-4ca7-b6be-1eeb6f16a470.jpg?v=1655050423,http://www.maxwarehouse.com/products/happy-nappers-shark-pillow-plush-1-pc,Happy Nappers Premium Quality Shark Pillow and Sleepy Sack 54 x 20 in.,U_740275053997,-,55.14,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_c133a6d4-b819-4f8f-8272-0b0ce5514117.jpg?v=1649195860,http://www.maxwarehouse.com/products/knape-vogt-melatex-shelf-12-x-36-white-boxed-pack-of-5,Knape &amp; Vogt 5/8 In. H X 12 In. W X 36 In. D White Melatex Laminate/Particle Board Shelf (Pack Of 5),U_029274004354,-,68.76,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_e637fe79-27d1-438e-9189-c62dc717c16b.jpg?v=1655457094,http://www.maxwarehouse.com/products/union-products-santa-blow-mold-christmas-decoration-resin-1-each-red-white,Union Products Red/White Resin Santa Blow Mold Plug-In Christmas Decoration 43 H in.,U_078304751805,-,72.68,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_276719eb-8189-4e43-9902-4f11b5165051.jpg?v=1654161639,http://www.maxwarehouse.com/products/celebrations-rope-lights-216-clear-lights-18-lead-wire,Celebrations Incandescent Mini Clear/Warm White 216 ct Rope Christmas Lights 18 ft.,U_843518021750,-,11.83,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_d44a2f9d-d269-47ad-8abf-943038372439.jpg?v=1645107202,http://www.maxwarehouse.com/products/rubbermaid-fast-set-back-clip-w-drive-pin-white,Rubbermaid 8.6 in. H X 7 in. W X .5 in. L Metal Fast Set Back Clip W/Drive Pin,U_071691196587,-,3.12,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_beb7e2ed-b5aa-487d-ab72-939692038b62.jpg?v=1659045606,http://www.maxwarehouse.com/products/ace-dl-style-shelf-multiple-position-16-in-d-x-48-in-w-platinum-pack-of-2,Lozier 1 in. H x 48 in. W x 16 in. L Powder Coated Platinum DL Style Shelf (Box of 2),U_691951000609,-,99.32,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_3835bd9c-32c8-429c-95f5-2fc4808e660e.jpg?v=1644672426,http://www.maxwarehouse.com/products/celebrations-rope-lights-red-18,Celebrations Incandescent Mini Red 216 ct Rope Christmas Lights 18 ft.,U_843518021781,-,13.19,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_61118293-0119-415a-bc35-062ed7c55c0d.jpg?v=1650717046,http://www.maxwarehouse.com/products/celebrations-led-light-set-100-light-white-bulbs-glass-ul-listed,Celebrations LED Mini Cool White 100 ct String Christmas Lights 24.75 ft.,U_843518022900,-,12.57,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_b44daf8d-6512-407e-937a-8c80db7cae5c.jpg?v=1656064677,http://www.maxwarehouse.com/products/adams-clear-suction-cup-wreath-hanger,Adams PVC Clear Double Suction Cup Wreath Hanger,U_037063206001,-,6.77,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_b4fbe9f5-39b8-4389-8f88-28d45f732659.jpg?v=1645107243,http://www.maxwarehouse.com/products/rubbermaid-end-caps-small-white,Rubbermaid 6.8 in. H X 4.5 in. W X .4 in. L Plastic End Caps,U_071691196495,-,3.14,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_793e0796-77f7-4e43-aa58-6c4fc997ae3d.jpg?v=1660142615,http://www.maxwarehouse.com/products/dial-dura-cool-roll-29-x-144,Dial Duracool 29 in. H X 144 in. W Blue Foamed Polyester Dura-Cool Roll,U_026529307802,-,43.29,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_be6600d3-db62-4a44-a340-afc0eecdd15b.jpg?v=1660027228,http://www.maxwarehouse.com/products/zinsser-smoothing-brush-12,Zinsser 12 in. W Green/Yellow Wallpaper Smoothing Brush,U_047719980124,-,3.98,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_2d5b3574-2dc1-4c3c-9084-c9c8afd6cff3.jpg?v=1659263053,http://www.maxwarehouse.com/products/air-bed-queen-elevated,Intex Elevated Gray Queen Air Mattress 18 H x 60 W x 80 D in. with Pump,U_078257325344,-,77.08,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_5e758f2a-6297-41b7-9f96-d3ea192633b9.jpg?v=1645342083,http://www.maxwarehouse.com/products/organized-living-1464-6665-11-white-adjustable-pole-clip-cap,Organized Living Plastic/Steel Adjustable Pole Clips and Caps,U_046964656518,-,8.73,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_d932d248-64d9-455e-9826-a483d442a9a7.jpg?v=1657557739,http://www.maxwarehouse.com/products/mypillow-classic-standard-bed-pillow-cotton-2-pk,MyPillow Classic Standard Bed Pillow Cotton 2 pk,U_810031212132,-,58.98,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_5759f9e3-1c79-4596-81ba-93e8c2e3b69c.jpg?v=1645394028,http://www.maxwarehouse.com/products/led-cndle-lntrn-w-remote-pack-of-6,Infinity LED Glass Flameless Lantern with Remote Assorted (Pack of 6),U_671424671550,-,73.03,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_a6ed18d5-8abf-4fc1-9aaf-5d6403759906.jpg?v=1649982777,http://www.maxwarehouse.com/products/holiday-bright-lights-led-c9-smooth-ceramic-christmas-light-bulbs-red-2-in-25,Holiday Bright Lights LED C9 Red 25 ct Replacement Christmas Light Bulbs,U_819464020178,-,32.81,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_56d7bc2a-4698-479d-ab1a-986dbedce98d.jpg?v=1651982780,http://www.maxwarehouse.com/products/cauldron-hndl-8-blk,Union Products Cauldron with Handle Halloween Decoration 8 in. H x 8 in. W 1 pk (Pack of 12),U_078304552808,-,43.58,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_dece3d01-2849-4f4e-8ea1-01914b9a92fb.jpg?v=1652070067,http://www.maxwarehouse.com/products/organized-living-freedom-rail-14-in-w-x-36-in-l-wood-closet-organizer-shelf-1-pk,Organized Living Freedom Rail 14 in. W x 36 in. L Wood Closet Organizer Shelf 1 pk,U_046964242179,-,36.56,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_1724658f-d13b-4c88-a117-3f4f925b8b9e.jpg?v=1652045651,http://www.maxwarehouse.com/products/celebrations-red-standing-deer-yard-decor,Celebrations LED Red 52 in. Standing Reindeer Yard Decor,U_843518038420,-,76.09,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_814a2111-1c1b-4d84-827b-620e6d236742.jpg?v=1656617690,http://www.maxwarehouse.com/products/cutter-citroguard-triple-wick-candle-multiple-insects-citronella-oil-20-oz,Cutter Citro Guard Citronella Candle For Mosquitoes/Other Flying Insects 20 oz,U_071121957849,-,12.07,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_1ed8bade-d105-43f7-8a6f-be2a5f6a1e51.jpg?v=1660293689,http://www.maxwarehouse.com/products/adams-suction-cup-wreath-holder-holds-up-to-10-lbs-clear,Adams Wreath Holder,U_037063202102,-,4.6,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_daaafdf3-72f5-43db-b273-cc76a9d43b56.jpg?v=1654439999,http://www.maxwarehouse.com/products/lamplight-chamber-oil-lamp-cotton-wick-replacement-11-11-tall-5-8-clear-glass,Lamplight Farms Chamber Clear Glass Oil Lamp with Handle 11-1/2 in.,U_076354001109,-,13.81,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_3752cbff-0c60-421a-9d30-24ad1e7aa7f5.jpg?v=1647873671,http://www.maxwarehouse.com/products/celebrations-led-warm-white-270-count-light-set-90-ft,Celebrations LED Micro Dot/Fairy Clear/Warm White 270 ct String Christmas Lights 90 ft.,U_843518040706,-,27.26,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_5547e0ed-2501-4f7f-844d-a45a7fdf3f62.jpg?v=1645107206,http://www.maxwarehouse.com/products/rubbermaid-fast-track-wall-end-bracket-white,Rubbermaid White Metal Fast Track Wall/End Bracket 1.3 L x 8.6 H x 7 W in.,U_071691196501,-,2.8,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_76c2b67d-0fb4-476c-a463-152629c343ad.jpg?v=1657515737,http://www.maxwarehouse.com/products/friedland-silver-inside-mount-roller-shade-bracket,Friedland Silver Inside Mount Roller Shade Bracket,U_093427263011,-,1.69,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_9e2dfd4c-cf50-4cbe-87d9-ad9f7fadd374.jpg?v=1660293451,http://www.maxwarehouse.com/products/vintage-string-lt-20,Feit Electric Incandescent String Light Set Clear 240 in.,U_017801720341,-,46.25,-,-,-
