image,url,title,upc,coupon_price,price,original_price,on_sale,inventory
https://cdn.shopify.com/s/files/1/1405/6268/products/image_9197e0c5-7037-466f-9adb-0b11478b71b7.jpg?v=1660090871,http://www.maxwarehouse.com/products/homeline-circuit-breaker-50-amp-cd-1,Square D HomeLine 50A 120/240V Ground Fault Plug-In Circuit Breaker 2.3 H x 4.6 W x 7.9 D in.,U_785901875895,-,127.5,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_25332173-0460-4e53-a7bc-4e3daf5da7de.jpg?v=1655224146,http://www.maxwarehouse.com/products/leviton-grounding-plug-15-amp-csa-blk-bulk,Leviton Residential Rubber Ground/Straight Blade Plug 5-15P 18-12 AWG 2 Pole 3 Wire,U_078477841426,-,3.09,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_ef765d37-28b1-494e-9b72-e362e4dcd090.jpg?v=1660107650,http://www.maxwarehouse.com/products/homeline-tandem-circuit-breaker-double-pole-20-30-amp-2-spaces-bulk,Square D HomeLine 30 amps Tandem 2-Pole Circuit Breaker,U_047569072239,-,39.49,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_f56dc758-1a1d-45d8-a6ce-d881191d4e6f.jpg?v=1647880733,http://www.maxwarehouse.com/products/cyberpower-1500va-sump-pump-battery-backup,CyberPower Sump Pump Switch,U_649532932771,-,191.94,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_1dd0caa5-cb53-4ba4-b77c-57b5c96ab8e0.jpg?v=1649425239,http://www.maxwarehouse.com/products/labo-bulb,Globe Electric Designer Labo 40 W G40 Decorative Incandescent Bulb E26 (Medium) Amber 1 pk,U_058219846544,-,5.88,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_e928399e-2803-454e-b535-819b12d8f506.jpg?v=1645028771,http://www.maxwarehouse.com/products/leviton-wallplate-1-gang-std-size-white-csa-carded,Leviton Decora White 1 gang Polycarbonate Rocker Wall Plate 1 pk,U_078477159613,-,2.75,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_18bbdca9-9c21-4b62-944e-82032b1ccc16.jpg?v=1645038790,http://www.maxwarehouse.com/products/paradise-cable-connector-300-w,Paradise 12V Black Underground Split Connector,U_627442097315,-,5.91,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_c27288a8-b0ec-4604-a338-b218a32dfc83.jpg?v=1657170050,http://www.maxwarehouse.com/products/allied-moulded-outlets-14-0-cu-in-2-d-x-3-1-2-w-round-bulk,Allied Moulded FiberglasBox 14 cu in Round Fiberglass 1 gang Outlet Box Beige,U_085339460244,-,7.51,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_f77cccc0-5240-45a0-83b0-01f028a3f68f.jpg?v=1646050660,http://www.maxwarehouse.com/products/retrofit-kit-5-6-in-65w,Feit Electric Enhance PAR30 E26 (Medium) LED Bulb Soft White 65 W 1 pk,U_017801477603,-,9.48,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_dbc6ac98-c602-41ae-a258-02704eb577ac.jpg?v=1646612365,http://www.maxwarehouse.com/products/decr-scrwls-wallplt-wh4g,Leviton White 4 gang Polycarbonate Rocker Screwless Wall Plate 1 pk,U_078477794746,-,10.98,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_670e1d28-51c5-4c30-b399-d346bdf88a6c.jpg?v=1654332513,http://www.maxwarehouse.com/products/intermatic-timer-motor-csa-boxed,Intermatic Outdoor Replacement Timer Motor 208-277 V Gray,U_078275020122,-,24.48,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_d0ea3f7d-c387-4e5f-b03f-cbd3d5024448.jpg?v=1660091435,http://www.maxwarehouse.com/products/bussmann-200-amps-one-time-fuse-1-pk,Bussmann 200 amps One-Time Fuse 1 pk,U_051712101721,-,19.49,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_b80ac83a-c57c-4d84-af67-71e33c27cecf.jpg?v=1645976083,http://www.maxwarehouse.com/products/decora-screwls-wallplt3g,Leviton Decora Plus White 3 gang Polycarbonate Rocker Screwless Wall Plate 1 pk,U_078477794685,-,8.44,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_de9b324d-01ea-467b-b18f-4a94776b2d1c.jpg?v=1659173110,http://www.maxwarehouse.com/products/carlon-lamson-sessons-ln43da-ctn-1-2-liquid-tight-assembled-straight-fitting,Carlon 1/2 in. D PVC Electrical Conduit Connector For Liquid Tight 1 pk,U_034481043928,-,1.92,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_f2df0148-4cec-432d-8fbe-3e777ef6b174.jpg?v=1645464496,http://www.maxwarehouse.com/products/led-chain-keyls-lmphldr,Leviton Plastic LED GU24 Ceiling Keyless Lampholder With Chain 1 pk,U_078477880401,-,23.44,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_552ddb11-088a-43db-978e-ffe177069801.jpg?v=1654297734,http://www.maxwarehouse.com/products/leviton-grounding-plug-15-amp-nema-5-15-pole-wht,Leviton Commercial and Residential Thermoplastic Straight Blade Plug 5-15P 18-12 AWG 2 Pole 3 Wire,U_078477560563,-,3.81,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_b3b43119-80d2-44a4-9b01-3019896bcefc.jpg?v=1654331165,http://www.maxwarehouse.com/products/in-sink-erator-power-cord,Cord Power F/G Disposer,U_050375000365,-,13.87,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_e42878dc-14d0-45de-89bd-ab1fee4091d5.jpg?v=1656354026,http://www.maxwarehouse.com/products/leviton-grounding-connector-15-amp-csa-blk-bulk,Leviton Commercial Rubber Ground/Straight Blade Connector 5-15R 18-12 AWG 2 Pole 3 Wire,U_078477841549,-,4.76,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_5f2dba6f-051b-4a1c-b005-625f3cadc7b8.jpg?v=1646652605,http://www.maxwarehouse.com/products/blackstone-3-8-in-dia-x-10-ft-l-brass-quick-connect-natural-gas-conversion-kit,Blackstone Quick Connect Natural Gas Conversion Kit with 10 ft. Gray Hose,U_717604052495,-,67.1,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_c1d4de2d-2335-405d-8767-6983d794fac0.jpg?v=1654332605,http://www.maxwarehouse.com/products/feit-led_light_bulb-20-w-160-lumens-clear-g9-3000-k,Feit Electric Wedge G9 LED Bulb Soft White 25 W 1 pk,U_017801756340,-,4.39,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_6ad002dd-af69-4d5a-ab87-e5e6fe4d3386.jpg?v=1659823181,http://www.maxwarehouse.com/products/cleartv-indoor-antenna-metal-plastic-1-pk,ClearTV Black Metal/Plastic Indoor Antenna,U_752356826802,-,11.05,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_becc9b8d-1cc4-4ee8-8928-37c15c281232.jpg?v=1658655746,http://www.maxwarehouse.com/products/bel-air-lighting-cb-4181-rt-16-rustic-outdoor-lantern-fixtures,Bel Air Lighting Wentworth Rustic Brown Switch Incandescent Wall Lantern,U_736916172028,-,31.5,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_d9392bbc-4f21-4308-a03b-947c4e9063e2.jpg?v=1659764446,http://www.maxwarehouse.com/products/square-d-20-amps-tandem-single-pole-miniature-circuit-breaker,Square D 15/20 amps Tandem Single Pole Circuit Breaker,U_047569403750,-,18.26,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_7ca171a4-1388-425a-86d7-5485a5f35ba7.jpg?v=1658639723,http://www.maxwarehouse.com/products/bel-air-lighting-cb-4181-bk-16-black-outdoor-lantern-fixture,Bel Air Lighting Wentworth Black Switch Incandescent Wall Lantern,U_736916172011,-,29.79,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_7cd744aa-fee2-4758-ba3a-2c7b178880bb.jpg?v=1647873556,http://www.maxwarehouse.com/products/feit-electric-a21-e26-medium-filament-led-bulb-bright-white-150-watt-equivalence-1-pk,Feit Electric A21 E26 (Medium) Filament LED Bulb Bright White 150 W 1 pk,U_017801158243,-,14.52,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_b8650e55-f308-4894-826f-f8371d392223.jpg?v=1647872113,http://www.maxwarehouse.com/products/feit-a19-e26-medium-auto-cycling-led-bulb-blue-red-white-7-watt-equivalence-1-pk,FEIT A19 E26 (Medium) Auto Cycling LED Bulb Blue/Red/White 7 Watt Equivalence 1 pk,U_017801158922,-,6.2,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_9d7ef340-0d90-4003-ab0c-4b391f415c80.jpg?v=1660108449,http://www.maxwarehouse.com/products/thomas-betts-ceiling-box-18-0-cu-in-round-pvc-blue-bx,Carlon Blue Round Thermoplastic 1-Gang Electrical Ceiling Box 3.5 H x 4.13 W x 3 D in.,U_034481193418,-,5.35,-,-,-
