image,url,title,upc,coupon_price,price,original_price,on_sale,inventory
https://cdn.shopify.com/s/files/1/1405/6268/products/image_42b9d97b-4cfe-42a4-afcf-e6bbeb468d46.jpg?v=1647848451,http://www.maxwarehouse.com/products/milwaukee-26-ft-l-x-1-in-w-compact-wide-blade-magnetic-tape-measure-black-red-1-pk,Milwaukee  26 ft. L x 1 in. W Compact Wide Blade  Magnetic Tape Measure  Black/Red  1 pk,U_045242560356,-,24.61,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_80210350-7af8-4af7-979b-cff6356967a1.jpg?v=1658613860,http://www.maxwarehouse.com/products/milwaukee-m18-redlithium-18-volt-2-ah-lithium-ion-compact-battery-pack-1-pc,Milwaukee M18 CT 18 V 2 Ah Lithium-Ion Compact Battery Pack 1 pc,U_045242288755,-,105.4,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_40f980a6-dd9f-4538-8c37-0ca5167c4c61.jpg?v=1650550114,http://www.maxwarehouse.com/products/hitachi-np35a-1-3-8-23-gauge-pin-nailer,Metabo HPT 23 Ga. Nailer Kit,U_717709023840,-,146.23,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_c5ff45a0-8a3a-45d6-b81c-1e97223a0c8a.jpg?v=1658723902,http://www.maxwarehouse.com/products/great-neck-21046-21-piece-essentials-home-tool-set,Great Neck Essentials Household Tool Kit 32 pc,U_076812210449,-,38.08,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_30978e1a-66e6-4dab-9da4-6ef4f5609479.jpg?v=1644795789,http://www.maxwarehouse.com/products/apollo-household-tool-kit-phillips-slotted-18-mm-135-piece-1,Apollo Tools Household Tool Kit 135 pc,U_884540004670,-,68.63,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_905aa883-6a2b-4a59-873e-fc17d444e723.jpg?v=1657874575,http://www.maxwarehouse.com/products/great-neck-saw-tool-set-7-piece,Great Neck 7 pc Multi-Bit Screwdriver Set,U_076812076984,-,38,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_30768441-272c-48e5-b922-e5f923c5c07a.jpg?v=1657901333,http://www.maxwarehouse.com/products/sckt-wrch-set-84pc,Crescent 1/4 and 3/8 in. drive SAE/Metric 6 and 12 Point Socket Wrench Set 84 pc,U_037103319562,-,74.11,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_61935f2d-f756-4884-a1da-dc8fd9dcd6c0.jpg?v=1657903751,http://www.maxwarehouse.com/products/home-tool-kit-15pc,Great Neck 15 pc Multi-Bit Screwdriver Set,U_076812106780,-,8.89,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_fca5a4dd-ae7e-460a-8a9d-a4df04d68666.jpg?v=1657920046,http://www.maxwarehouse.com/products/klein-tools-screwdriver-set-phillips-1-4-7-piece,Klein Tools 7 pc Phillips/Slotted Screwdriver Set,U_092644850769,-,58.2,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_22c80635-c0a0-4c1e-903c-e66e645ec485.jpg?v=1657898649,http://www.maxwarehouse.com/products/nailer-air-brad-2-18ga,Nailer Air Brad 2&quot; 18Ga,U_077914050698,-,128.11,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_14b2a1bc-a9f8-4664-a6a4-c0f2f867efd3.jpg?v=1647262165,http://www.maxwarehouse.com/products/air-impact-wrench-1-2,Campbell Hausfeld Gray Composite 90 PSI Pneumatic Air Impact Wrench 8.5 L x 7.8 H x 3.2 W in.,U_045564642389,-,174.73,-,-,-
