image,url,title,upc,coupon_price,price,original_price,on_sale,inventory
https://cdn.shopify.com/s/files/1/1405/6268/products/image_fdd076e0-4b9a-4a00-86b0-e3ca93044d8a.jpg?v=1655047641,http://www.maxwarehouse.com/products/sterilite-6-25-in-h-x-11-in-w-x-14-in-d-stackable-clip-storage-box,Sterilite Clear Clip Storage Box (Pack of 4),U_073149965868,-,48.44,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_99472ef2-dbc2-4fe5-a9e8-1ea4ef9b326b.jpg?v=1660347316,http://www.maxwarehouse.com/products/clip-box-11x6-5-8x5-3-8,Sterilite 5.375 in. H X 6.625 in. W X 11 in. D Stackable Clip Storage Box,U_073149962867,-,6.27,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_1c424352-85db-4daa-b17b-1cc8ce19f338.jpg?v=1660288209,http://www.maxwarehouse.com/products/sterilite-19628604-medium-clip-box-pack-of-4,Sterilite Clear Medium Clip Box with Blue Aquarium Latches 11 L x 5.4 H x 6.6 W in. (Pack of 4),U_073149962867,-,18.83,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_9488859e-f291-4f8a-95ec-9bcce687a935.jpg?v=1660285222,http://www.maxwarehouse.com/products/sterilite-19638606-large-clip-box-pack-of-6,Sterilite 3.25 in. H x 11 in. W x 14 in. D Stackable Clip Storage Box (Pack of 6),U_073149963864,-,56.35,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_2d8de8d2-8d52-4e5f-8399-f492099467c8.jpg?v=1645455742,http://www.maxwarehouse.com/products/pyrex-round-w-lid-red4c-pack-of-4,Pyrex 4 cup Food Storage Container Clear (Pack of 4),U_071160042971,-,30.99,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_7f0bdf4a-16a8-40eb-a497-2504de82fbd5.jpg?v=1654186748,http://www.maxwarehouse.com/products/rubbermaid-dry-food-storage-5-cup-clear-base,Rubbermaid Clear Polypropylene 5-Cup Capacity Rectangle BPA-Free Food Storage Container with Lid,U_071691428824,-,8.46,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_9ef0b175-2fe9-4505-970c-805ebf50b6cc.jpg?v=1645886643,http://www.maxwarehouse.com/products/interdesign-24329-9-x-5-5-x-3-75-silver-classico-power-lock-suction-shower-basket,iDesign Classico 3.75 in. H X 5.5 in. W X 9 in. L Silver Shower Basket,U_081492243298,-,16.86,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_cee02412-58fe-445f-968a-f532574286de.jpg?v=1659306149,http://www.maxwarehouse.com/products/interdesign-59122-10-1-chrome-corner-rondo-suction-bath-storage-basket,iDesign 3.9 in. H X 8 in. W X 10 in. L Chrome Silver Shower Basket,U_081492000624,-,5.99,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_6e17bc73-9cb6-4f29-819d-fdd3d285fc63.jpg?v=1660365540,http://www.maxwarehouse.com/products/sterilite-12168006-2-bushel-white-laundry-basket-pack-of-6,Sterilite White Plastic Laundry Basket (Pack of 6),U_073149121684,-,70.43,-,-,-
https://cdn.shopify.com/s/files/1/1405/6268/products/image_eaed6fa5-7ee8-4b78-ae80-6a62bf756bb4.jpg?v=1660287494,http://www.maxwarehouse.com/products/sterilite-16088048-medium-storage-basket,Sterilite 4.25 in. H X 8 in. W X 11.25 in. D Storage Bin,U_073149160881,-,2.56,-,-,-
